
generacion,valor0,valor1,valor2,valor3,valor4,valor5,valor6,valor7,valor8,valor9,valor10,valor11,valor12,valor13,valor14,valor15,valor16,valor17,valor18,valor19,valor20,valor21,valor22,valor23,valor24,valor25,valor26,valor27,valor28,valor29,valor30,valor31,valor32,valor33,valor34,valor35,valor36,valor37,valor38,valor39,valor40,valor41,valor42,valor43,valor44,valor45,valor46,valor47,valor48,valor49
1,,2.75,2.82,2.81,2.36,1.86,1.27,1.12,2.77,1.99,1.26,1.86,1.73,1,1.27,1.95,2.7,2.06,1.56,2.7,1.8,2.38,3.12,2.61,2.47,2.56,3.01,2.24,2.4,2.45,3.26,1.92,2.35,1.33,2.45,2.61,1.57,1.12,1.8,2.89,3.02,1.17,2.03,2.01,3.74,2.06,2.84,1.63,2.95,2.1,2.22
2,,2.72,2.54,3.02,2.19,2.09,2.46,2.2,1.17,3.63,3.14,2.92,2.45,2.59,2.09,1.87,2.23,2.35,2.66,1.58,2.46,1.54,2.71,3.32,2.71,2.45,3.41,2.81,2.42,2.18,1.94,3.05,2.36,1.99,2.82,2.45,2.78,1.78,3.02,2.69,2.05,2.98,3.24,2.66,1.85,2.38,2.78,2.95,3.18,2.87,3.18
3,,3.54,2.22,2.72,3.22,3.18,2.81,2.29,4.03,2.68,2.67,2.02,2.6,2.88,3.61,2.74,3.44,2.62,3.47,2.78,2.72,2.37,2.33,3.54,3.57,2.34,2.25,2.4,2.62,3.94,2.38,3.08,2.41,2.79,3.08,3.05,3.08,2.23,2.88,3.11,2.66,2.9,2.71,1.75,3.07,1.8,2.65,2.1,3.35,2.75,2.92
4,,3.25,2.87,3.12,2.75,3.02,2.33,3.61,3.07,3.57,2.75,2.26,2.95,3.74,3.34,2.94,3.25,2.98,1.59,3.16,2.88,2.88,3.7,3.41,2.62,2.4,3.51,3.7,2.26,2.17,3.11,3.35,2.45,3.05,2.36,2.38,3.57,2.71,1.69,3.94,2.36,3.53,2.42,2.06,2.65,3.71,2.16,2.69,3.18,3.73,3.6
5,,2.98,3.41,2.19,2.35,3.08,3.61,3.35,2.32,3.02,2.71,2.75,2.89,2.72,2.65,2.76,3.11,1.91,2.62,2.82,2.85,3.58,2.72,3.54,3.18,1.63,3.68,3.51,3.18,2.45,3.12,2.62,4,2.85,3.08,2.95,3.15,2.99,2.86,3.41,3.28,2.69,3.81,2.88,3.05,3.18,3.55,3.21,3.37,3.71,3.58
6,,2.97,2.56,2.3,3.25,3.41,3.38,3.7,2.66,3.11,3.34,3.61,3.54,2.64,3.37,3.62,2.56,3.42,2.53,2.85,3.11,3.41,3.28,3.74,2.52,4.17,3.02,2.59,2.71,2.69,2.88,3.08,2.53,3.44,2.65,3.48,3.21,3.34,3.01,2.75,3.62,2.56,2.62,2.62,2.36,3.39,3.01,2.95,3.08,2.76,3.2
7,,2.71,3.9,3.34,3.06,3.4,2.72,3.83,2.79,3.32,3.25,2.52,2.98,3.04,3.05,3.51,3.48,3.58,3.12,3.21,3.08,3.58,2.86,3.42,3.08,2.85,3.71,2.85,3.28,1.99,2.36,3.97,2.95,2.56,3.47,3.89,2.99,2.36,3.23,2.39,3.21,3.05,3.74,3.93,3.35,3.21,2.78,2.57,3.34,2.88,3.24
8,,3.12,2.96,3.05,3.02,3.25,3.48,2.82,2.72,2.96,3.51,3.08,3.25,3.51,3.62,3.87,3.38,2.59,2.3,3.18,3.45,2.65,3.45,3.05,2.82,2.63,3.74,3.61,2.73,3.71,3.51,2.89,3.21,2.92,3.24,2.92,3.94,3.08,3.57,3.55,3.21,2.7,3.25,3.58,2.95,2.92,3.31,3.61,3.4,2.59,1.86
9,,3.31,3.05,3.28,3.22,3.71,3.31,3.05,2.29,2.59,3.28,4.07,2.98,2.09,3.61,3.44,3.12,3.12,3.55,2.98,3.99,2.89,3.02,3.49,3.41,3.18,2.65,3.18,2.94,3.68,2.95,2.79,3.58,3.94,3.48,3.24,3.25,3.48,2.89,3.67,3.51,2.98,3.01,2.62,3.25,2.62,3.81,3.02,3.19,3.77,2.46
10,,3.57,3.16,3.09,3.57,2.36,3.28,3.15,2.79,3.38,3.54,3.15,2.82,3.35,3.05,3.51,2.33,2.62,3.48,2.98,3.27,2.32,3.22,2.43,2.39,3.57,3.44,3.05,3.73,3.08,2.82,3.54,3.41,2.55,3.02,2.95,2.5,3.41,3.77,3.71,2.53,3.34,3.51,2.74,4.2,3.28,3.41,2.63,2.36,2.52,2.72
