
generacion,maxFitness,minFitness,fitnessPromedio,mediaDelFitness,
1,3.74,1,2.199,2.22,
2,3.63,1.17,2.5382,3.18,
3,4.03,1.75,2.807,2.92,
4,3.94,1.59,2.9356,3.6,
5,4,1.63,3.0182,3.58,
6,4.17,2.3,3.052,3.2,
7,3.97,1.99,3.1396,3.24,
8,3.94,1.86,3.1544,3.4,
9,4.07,2.09,3.1998,3.77,
10,4.2,2.32,3.092,3.41,
11,4.13,2.46,3.2902,4.13,
12,4.16,2.43,3.2286,3.18,
13,4.1,2.39,3.1746,3.63,
14,4.46,1.9,3.195,3.25,
15,4.5,2.42,3.263,3.55,
16,4.13,2.1,3.1194,3.7,
17,4.03,2.27,3.1758,3.54,
18,4.52,2.11,3.118,3.22,
19,4,2.65,3.3658,3.31,
20,4.13,2.24,3.1534,3.24,
21,3.96,2.13,3.2038,3.57,
22,4,2.23,3.1782,3.8,
23,
